,road_damage_synthetic_data,,,,,,,,,,,,,,,
,9007,crack,2.0,0,7.74,highway,medium,rainy,cold_mix,bitumen,1298,4165,2219,7682,4,Gammon India
,9008,pothole,3.02,3,0.0,rural,low,humid,patching,concrete,4596,10000,3909,18505,4,Larsen & Toubro
,9009,crack,2.55,0,4.16,urban,high,rainy,cold_mix,bitumen,1027,2677,635,4339,7,Shapoorji Pallonji
,9010,pothole,4.91,9,0.0,urban,high,humid,cold_mix,asphalt,4743,10000,4550,19293,8,HCC
,9011,pothole,4.17,4,0.0,rural,very_high,rainy,full_depth_repair,bitumen,2102,7089,3234,12425,10,Punj Lloyd
,9012,pothole,4.57,7,0.0,urban,high,dry,cold_mix,asphalt,3461,9344,5133,17938,7,KNR Constructions
,9013,crack,1.35,0,0.99,urban,high,dry,cold_mix,bitumen,210,528,300,1038,2,Dilip Buildcon
,9014,crack,3.89,0,8.91,highway,high,dry,resurfacing,bitumen,982,3586,1966,6534,5,KNR Constructions
,9015,pothole,1.4,1,0.0,urban,high,dry,resurfacing,concrete,1665,4214,1449,7328,4,Sadbhav Engineering
,9016,pothole,1.12,9,0.0,urban,high,dry,full_depth_repair,bitumen,1541,3972,1376,6889,4,IRB Infrastructure
,9017,crack,4.73,0,8.44,rural,medium,dry,patching,asphalt,775,2768,1576,5119,4,IRB Infrastructure
,9018,crack,0.19,0,5.44,highway,high,dry,resurfacing,asphalt,1305,3105,1718,6128,3,NCC Limited
,9019,crack,4.83,0,3.3,highway,low,dry,full_depth_repair,asphalt,834,1999,912,3745,6,Afcons Infra
,9020,pothole,0.83,5,0.0,highway,high,rainy,cold_mix,asphalt,503,1225,501,2229,4,Afcons Infra
,9021,pothole,4.12,19,0.0,rural,high,dry,full_depth_repair,asphalt,4167,9625,3214,17006,6,Tata Projects
,9022,pothole,1.45,1,0.0,highway,high,dry,resurfacing,asphalt,2491,6284,3163,11938,3,Dilip Buildcon
,9023,pothole,1.82,18,0.0,highway,high,dry,cold_mix,gravel,1101,3167,373,4641,4,GR Infraprojects
,9024,pothole,1.16,8,0.0,rural,medium,humid,full_depth_repair,asphalt,1174,2789,833,4796,5,Dilip Buildcon
,9025,crack,2.97,0,5.9,urban,very_high,rainy,resurfacing,bitumen,1173,3713,755,5641,8,Afcons Infra
,9026,pothole,1.81,8,0.0,highway,very_high,rainy,full_depth_repair,bitumen,2311,6477,3510,12298,9,Sadbhav Engineering
,9027,crack,3.32,0,1.45,highway,very_high,dry,patching,bitumen,595,1660,615,2870,5,Sadbhav Engineering
,9028,crack,0.18,0,4.91,highway,medium,dry,cold_mix,gravel,753,1970,1006,3729,1,Larsen & Toubro
,9029,pothole,0.42,16,0.0,urban,medium,humid,full_depth_repair,concrete,342,1100,343,1785,4,Dilip Buildcon
,9030,crack,0.59,0,9.52,highway,medium,rainy,full_depth_repair,bitumen,2040,5850,1447,9337,5,Tata Projects
,9031,pothole,2.15,12,0.0,rural,medium,rainy,cold_mix,concrete,968,2929,1899,5796,5,Larsen & Toubro
,9032,crack,4.09,0,2.25,urban,medium,dry,resurfacing,bitumen,685,1839,300,2824,4,Ramky Infra
,9033,pothole,4.45,20,0.0,highway,medium,dry,full_depth_repair,bitumen,2894,10000,2421,15315,6,Tata Projects
,9034,pothole,1.3,3,0.0,highway,very_high,dry,resurfacing,asphalt,2057,7698,1566,11321,5,Dilip Buildcon
,9035,crack,2.91,0,5.52,rural,high,rainy,patching,concrete,965,3644,1261,5870,8,Gammon India
,9036,pothole,3.86,8,0.0,highway,very_high,humid,cold_mix,asphalt,5000,10000,6559,21559,9,Gayatri Projects
,9037,crack,1.52,0,8.72,rural,medium,humid,resurfacing,gravel,966,3433,737,5136,4,Gayatri Projects
,9038,pothole,2.1,13,0.0,rural,medium,rainy,resurfacing,asphalt,1267,4133,905,6305,5,NCC Limited
,9039,pothole,2.67,18,0.0,highway,low,rainy,resurfacing,bitumen,2285,7658,1042,10985,7,Larsen & Toubro
,9040,pothole,0.76,13,0.0,highway,medium,dry,patching,bitumen,337,1404,300,2041,1,Sadbhav Engineering
,9041,crack,0.23,0,1.54,urban,high,dry,cold_mix,concrete,624,1496,406,2526,2,Gayatri Projects
,9042,crack,0.85,0,5.51,urban,medium,rainy,resurfacing,bitumen,930,2761,303,3994,4,Tata Projects
,9043,pothole,3.17,16,0.0,urban,medium,rainy,resurfacing,concrete,5000,10000,3963,18963,7,Shapoorji Pallonji
,9044,crack,0.46,0,9.83,highway,medium,rainy,patching,concrete,2343,6122,2668,11133,3,Ramky Infra
,9045,pothole,1.03,19,0.0,highway,high,dry,cold_mix,bitumen,1615,5505,2075,9195,3,IRB Infrastructure
,9046,crack,1.76,0,6.77,highway,low,rainy,full_depth_repair,concrete,1816,5069,521,7406,7,Megha Engineering
,9047,crack,0.48,0,3.97,rural,very_high,humid,cold_mix,bitumen,888,2531,1363,4782,4,Gayatri Projects
,9048,pothole,1.04,9,0.0,highway,high,rainy,full_depth_repair,concrete,1879,6063,3070,11012,7,Larsen & Toubro
,9049,pothole,4.57,7,0.0,highway,high,humid,patching,asphalt,3001,9323,2693,15017,6,Megha Engineering
,9050,pothole,0.19,6,0.0,urban,medium,rainy,full_depth_repair,asphalt,1057,2870,1252,5179,5,Gayatri Projects
,9051,pothole,3.3,1,0.0,rural,medium,dry,patching,bitumen,2507,6982,925,10414,4,Shapoorji Pallonji
,9052,pothole,1.98,14,0.0,rural,medium,rainy,full_depth_repair,bitumen,1839,5411,1806,9056,7,Tata Projects
,9053,crack,3.4,0,5.97,highway,low,rainy,patching,gravel,914,2892,413,4219,5,Punj Lloyd
,9054,crack,2.98,0,7.63,rural,high,rainy,cold_mix,gravel,823,2715,1442,4980,7,Ramky Infra
,9055,pothole,1.2,5,0.0,highway,high,humid,cold_mix,gravel,2047,5491,1021,8559,4,Ramky Infra
,9056,pothole,4.25,11,0.0,urban,medium,dry,full_depth_repair,asphalt,2902,9517,2784,15203,8,KNR Constructions
,9057,pothole,2.51,5,0.0,urban,medium,dry,cold_mix,concrete,1821,6327,1105,9253,3,Shapoorji Pallonji
,9058,crack,4.13,0,1.03,highway,very_high,rainy,full_depth_repair,asphalt,599,2011,465,3075,12,JMC Projects
,9059,pothole,2.09,3,0.0,urban,high,dry,patching,gravel,1149,3972,1912,7033,4,GR Infraprojects
,9060,pothole,4.92,9,0.0,urban,high,dry,resurfacing,gravel,3899,8102,3901,15902,9,IRB Infrastructure
,9061,crack,3.88,0,2.26,urban,medium,humid,patching,concrete,491,1678,382,2551,5,Tata Projects
,9062,crack,4.83,0,6.51,urban,high,dry,resurfacing,asphalt,1013,3063,762,4838,9,NCC Limited
,9063,crack,2.62,0,9.24,highway,medium,dry,cold_mix,gravel,1368,3327,1088,5783,4,Ashoka Buildcon
,9064,crack,2.42,0,0.15,highway,low,dry,cold_mix,gravel,200,500,300,1000,2,Larsen & Toubro
,9065,pothole,3.8,2,0.0,rural,medium,dry,full_depth_repair,asphalt,3214,10000,1618,14832,7,NCC Limited
,9066,crack,4.41,0,7.34,highway,very_high,dry,full_depth_repair,bitumen,1839,4550,1086,7475,10,Megha Engineering
,9067,crack,4.82,0,0.29,urban,medium,rainy,resurfacing,bitumen,357,915,300,1572,9,Larsen & Toubro
,9068,pothole,1.69,15,0.0,urban,medium,dry,patching,asphalt,1065,2933,622,4620,2,Dilip Buildcon
,9069,pothole,4.01,14,0.0,highway,high,rainy,resurfacing,bitumen,5000,10000,5216,20216,9,HCC
,9070,pothole,1.13,20,0.0,rural,high,dry,resurfacing,concrete,1010,3623,1419,6052,3,HCC
,9071,crack,2.77,0,2.73,urban,medium,dry,patching,bitumen,424,1135,300,1859,4,Shapoorji Pallonji
,9072,pothole,0.98,11,0.0,highway,high,rainy,full_depth_repair,bitumen,649,2083,574,3306,7,Afcons Infra
,9073,crack,1.8,0,4.39,urban,medium,dry,cold_mix,asphalt,854,2324,673,3851,2,Shapoorji Pallonji
,9074,crack,4.66,0,7.07,urban,low,rainy,cold_mix,bitumen,1028,2881,1497,5406,8,Sadbhav Engineering
,9075,crack,0.82,0,4.6,urban,high,humid,full_depth_repair,bitumen,951,3106,543,4600,5,NCC Limited
,9076,pothole,3.2,2,0.0,highway,low,dry,resurfacing,asphalt,2875,9377,5616,17868,5,Punj Lloyd
,9077,crack,3.01,0,1.77,rural,high,humid,full_depth_repair,concrete,651,1961,621,3233,9,Dilip Buildcon
,9078,pothole,0.69,17,0.0,urban,medium,dry,resurfacing,asphalt,603,1718,512,2833,2,IRB Infrastructure
,9079,pothole,1.7,16,0.0,highway,high,dry,cold_mix,bitumen,1303,4304,1999,7606,4,Shapoorji Pallonji
,9080,pothole,2.86,15,0.0,highway,very_high,rainy,resurfacing,asphalt,1369,5908,1315,8592,9,HCC
,9081,crack,1.02,0,1.62,rural,medium,dry,cold_mix,concrete,599,1547,579,2725,2,Shapoorji Pallonji
,9082,crack,4.02,0,4.02,urban,medium,dry,cold_mix,bitumen,845,2246,650,3741,6,Gammon India
,9083,crack,4.86,0,6.59,urban,high,dry,resurfacing,bitumen,1173,2622,1246,5041,6,Simplex Infra
,9084,pothole,1.15,19,0.0,urban,low,rainy,cold_mix,asphalt,2267,8756,1651,12674,3,Dilip Buildcon
,9085,crack,1.02,0,1.05,rural,low,humid,full_depth_repair,asphalt,473,1455,411,2339,5,Gammon India
,9086,crack,2.33,0,0.23,rural,high,dry,resurfacing,asphalt,296,915,300,1511,5,Afcons Infra
,9087,crack,3.76,0,4.75,urban,low,dry,patching,asphalt,887,2261,705,3853,4,Simplex Infra
,9088,crack,1.48,0,7.34,rural,medium,rainy,cold_mix,bitumen,1336,2784,1233,5353,4,Megha Engineering
,9089,crack,0.2,0,4.63,rural,very_high,dry,resurfacing,asphalt,1357,4184,524,6065,4,Larsen & Toubro
,9090,pothole,2.75,6,0.0,highway,high,dry,resurfacing,bitumen,1948,5673,2775,10396,7,NCC Limited
,9091,pothole,4.79,19,0.0,rural,high,rainy,resurfacing,bitumen,4468,10000,3067,17535,7,Sadbhav Engineering
,9092,pothole,2.02,13,0.0,rural,high,dry,patching,bitumen,1324,4563,781,6668,4,Megha Engineering
,9093,pothole,2.16,8,0.0,highway,low,dry,patching,asphalt,1288,4104,2118,7510,3,GMR Infra
,9094,crack,4.85,0,5.41,urban,very_high,humid,cold_mix,gravel,842,2753,485,4080,10,JMC Projects
,9095,pothole,3.5,4,0.0,urban,high,dry,full_depth_repair,bitumen,3682,10000,785,14467,8,IRB Infrastructure
,9096,crack,3.62,0,7.14,highway,low,humid,patching,asphalt,1064,4456,902,6422,7,KNR Constructions
,9097,pothole,2.86,3,0.0,rural,very_high,humid,patching,bitumen,1682,4328,824,6834,6,Ramky Infra
,9098,pothole,4.88,5,0.0,rural,medium,dry,resurfacing,bitumen,2419,8628,3390,14437,6,KNR Constructions
,9099,pothole,3.48,18,0.0,highway,very_high,rainy,resurfacing,bitumen,4356,10000,4751,19107,8,Sadbhav Engineering
,9100,crack,4.49,0,1.88,rural,high,humid,full_depth_repair,asphalt,636,2013,438,3087,9,Afcons Infra
,9101,crack,3.53,0,2.13,highway,medium,rainy,cold_mix,bitumen,693,1861,698,3252,6,HCC
,9102,pothole,3.7,15,0.0,highway,medium,humid,resurfacing,concrete,3411,10000,4452,17863,7,Ashoka Buildcon
,9103,crack,1.52,0,4.9,urban,medium,dry,cold_mix,asphalt,1029,3921,733,5683,2,Tata Projects
,9104,pothole,1.59,3,0.0,rural,medium,rainy,full_depth_repair,bitumen,1096,3254,1596,5946,7,Simplex Infra
,9105,pothole,3.94,20,0.0,highway,low,dry,full_depth_repair,bitumen,2427,7586,2038,12051,6,IRB Infrastructure
,9106,pothole,1.55,20,0.0,rural,very_high,rainy,patching,asphalt,1601,4627,781,7009,7,Gammon India
,9107,crack,2.86,0,9.25,highway,high,rainy,cold_mix,gravel,1623,3984,1899,7506,8,Dilip Buildcon
,9108,pothole,1.32,5,0.0,rural,high,dry,resurfacing,concrete,2317,6420,2274,11011,4,Punj Lloyd
,9109,pothole,4.1,4,0.0,urban,medium,dry,resurfacing,bitumen,2036,9357,2163,13556,7,KNR Constructions
,9110,pothole,0.64,12,0.0,urban,low,dry,cold_mix,concrete,544,1692,300,2536,1,KNR Constructions
,9111,crack,4.16,0,0.58,rural,medium,rainy,resurfacing,asphalt,200,593,300,1093,6,Ramky Infra
,9112,pothole,3.05,13,0.0,rural,medium,dry,resurfacing,bitumen,1674,5469,3452,10595,4,Larsen & Toubro
,9113,crack,1.02,0,2.01,rural,low,humid,resurfacing,asphalt,349,890,384,1623,3,Gammon India
,9114,pothole,2.76,19,0.0,highway,high,dry,resurfacing,bitumen,1173,2951,635,4759,6,Ashoka Buildcon
,9115,crack,1.48,0,3.43,urban,high,dry,full_depth_repair,asphalt,952,2765,1440,5157,6,GMR Infra
,9116,pothole,1.68,5,0.0,urban,high,rainy,full_depth_repair,asphalt,2281,7872,2886,13039,7,Simplex Infra
,9117,pothole,1.82,20,0.0,rural,medium,humid,resurfacing,concrete,1914,5589,2177,9680,4,NCC Limited
,9118,crack,0.41,0,9.38,highway,high,dry,cold_mix,asphalt,1668,5690,888,8246,2,NCC Limited
,9119,crack,4.93,0,2.13,rural,medium,dry,resurfacing,bitumen,232,949,300,1481,7,HCC
,9120,pothole,0.25,7,0.0,highway,medium,dry,cold_mix,asphalt,816,2381,351,3548,1,Simplex Infra
,9121,crack,3.35,0,3.99,highway,very_high,rainy,cold_mix,bitumen,1232,3701,1040,5973,9,NCC Limited
,9122,pothole,1.92,20,0.0,rural,low,rainy,patching,concrete,2360,5045,2319,9724,4,GR Infraprojects
,9123,pothole,3.27,14,0.0,urban,low,dry,patching,bitumen,2660,6414,1892,10966,5,Dilip Buildcon
,9124,pothole,1.85,20,0.0,urban,medium,humid,patching,asphalt,1575,4876,1454,7905,4,GMR Infra
,9125,crack,3.4,0,1.28,urban,low,dry,cold_mix,bitumen,309,1213,391,1913,5,Gayatri Projects
,9126,pothole,3.67,2,0.0,urban,low,humid,cold_mix,bitumen,2094,8327,2447,12868,7,Larsen & Toubro
,9127,crack,3.48,0,5.79,urban,high,dry,cold_mix,asphalt,1371,2941,1334,5646,6,IRB Infrastructure
,9128,pothole,0.66,9,0.0,rural,high,dry,cold_mix,bitumen,386,994,300,1680,2,IRB Infrastructure
,9129,crack,3.32,0,0.58,urban,high,dry,cold_mix,gravel,200,500,300,1000,6,Megha Engineering
,9130,crack,1.47,0,3.26,urban,low,humid,full_depth_repair,bitumen,918,1974,1032,3924,5,Afcons Infra
,9131,pothole,0.24,16,0.0,highway,high,dry,resurfacing,bitumen,695,1636,661,2992,3,IRB Infrastructure
,9132,crack,2.13,0,3.67,urban,very_high,dry,patching,asphalt,730,2759,919,4408,5,Gayatri Projects
,9133,pothole,2.22,10,0.0,urban,medium,dry,cold_mix,gravel,823,2338,1124,4285,4,Ashoka Buildcon
,9134,pothole,2.39,20,0.0,highway,medium,rainy,full_depth_repair,asphalt,1114,4782,1202,7098,7,JMC Projects
,9135,pothole,3.55,12,0.0,urban,medium,dry,patching,gravel,3092,7444,4255,14791,5,HCC
,9136,pothole,1.61,5,0.0,urban,high,humid,resurfacing,bitumen,890,2779,1081,4750,4,Sadbhav Engineering
,9137,pothole,1.64,20,0.0,urban,very_high,dry,full_depth_repair,bitumen,1117,2659,1103,4879,5,HCC
,9138,crack,0.4,0,1.85,highway,very_high,dry,cold_mix,bitumen,439,1544,646,2629,3,Tata Projects
,9139,pothole,3.47,6,0.0,rural,medium,dry,full_depth_repair,asphalt,3479,8659,2198,14336,6,Dilip Buildcon
,9140,crack,2.88,0,4.0,urban,low,rainy,full_depth_repair,asphalt,881,2694,537,4112,8,Megha Engineering
,9141,crack,1.81,0,7.11,rural,medium,humid,resurfacing,bitumen,890,2576,1143,4609,4,JMC Projects
,9142,pothole,3.56,19,0.0,urban,medium,dry,full_depth_repair,asphalt,2790,7406,2829,13025,7,Simplex Infra
,9143,crack,2.73,0,9.29,rural,medium,humid,patching,concrete,1388,3984,1550,6922,5,Gammon India
,9144,pothole,2.4,20,0.0,rural,very_high,humid,full_depth_repair,asphalt,1910,6844,1361,10115,7,Ramky Infra
,9145,crack,2.61,0,5.29,urban,medium,humid,patching,concrete,1038,4652,1029,6719,5,Tata Projects
,9146,crack,3.22,0,1.47,rural,medium,dry,cold_mix,bitumen,398,1304,300,2002,3,Dilip Buildcon
,9147,crack,3.33,0,9.46,rural,medium,humid,cold_mix,asphalt,857,3397,930,5184,4,Shapoorji Pallonji
,9148,pothole,1.52,8,0.0,highway,very_high,humid,patching,bitumen,1332,3304,1678,6314,5,Dilip Buildcon
,9149,crack,0.79,0,6.3,highway,very_high,rainy,cold_mix,bitumen,1487,5220,860,7567,5,HCC
,9150,pothole,0.87,15,0.0,rural,high,dry,resurfacing,concrete,374,1275,319,1968,4,IRB Infrastructure
,9151,crack,3.23,0,1.64,highway,medium,dry,resurfacing,concrete,782,2394,679,3855,4,Shapoorji Pallonji
,9152,crack,4.38,0,4.06,rural,medium,humid,resurfacing,gravel,617,1440,700,2757,5,IRB Infrastructure
,9153,crack,2.11,0,2.25,highway,medium,dry,resurfacing,gravel,413,869,388,1670,4,Tata Projects
,9154,crack,0.93,0,3.12,rural,high,dry,patching,gravel,599,2522,813,3934,3,Megha Engineering
,9155,pothole,3.81,15,0.0,rural,low,dry,resurfacing,bitumen,2743,7510,1656,11909,4,GR Infraprojects
,9156,pothole,4.18,15,0.0,highway,very_high,dry,patching,bitumen,5000,10000,3105,18105,7,KNR Constructions
,9157,crack,4.41,0,6.85,highway,high,rainy,full_depth_repair,concrete,1917,5942,636,8495,10,Gammon India
,9158,crack,3.07,0,3.11,urban,low,rainy,patching,bitumen,1201,2989,1060,5250,5,GR Infraprojects
,9159,pothole,4.32,18,0.0,urban,medium,dry,cold_mix,bitumen,3068,7240,3887,14195,6,Sadbhav Engineering
,9160,pothole,0.18,12,0.0,highway,high,humid,resurfacing,asphalt,901,3727,860,5488,4,Dilip Buildcon
,9161,pothole,0.63,12,0.0,rural,medium,rainy,patching,asphalt,649,1847,603,3099,3,Afcons Infra
,9162,pothole,0.55,4,0.0,highway,low,humid,patching,bitumen,518,1430,571,2519,2,Simplex Infra
,9163,crack,3.59,0,5.24,highway,high,rainy,patching,concrete,1745,4927,382,7054,5,Megha Engineering
,9164,crack,0.44,0,4.33,highway,very_high,dry,full_depth_repair,gravel,992,3122,1093,5207,5,Gammon India
,9165,pothole,2.53,10,0.0,urban,very_high,humid,patching,concrete,2916,8046,3110,14072,6,Punj Lloyd
,9166,pothole,2.42,15,0.0,urban,low,rainy,resurfacing,bitumen,1413,4828,1753,7994,7,Afcons Infra
,9167,pothole,1.62,1,0.0,rural,high,dry,cold_mix,bitumen,722,2574,917,4213,3,GMR Infra
,9168,pothole,4.36,17,0.0,highway,medium,rainy,full_depth_repair,bitumen,5000,10000,3871,18871,9,Sadbhav Engineering
,9169,pothole,0.94,3,0.0,highway,medium,dry,cold_mix,asphalt,736,2723,1012,4471,1,Dilip Buildcon
,9170,pothole,1.83,11,0.0,rural,high,humid,full_depth_repair,asphalt,1753,5143,1950,8846,6,GMR Infra
,9171,crack,3.89,0,4.63,highway,very_high,dry,full_depth_repair,bitumen,1104,4635,939,6678,10,Afcons Infra
,9172,crack,0.25,0,7.4,rural,medium,rainy,resurfacing,gravel,924,2593,1034,4551,4,Larsen & Toubro
,9173,crack,3.4,0,1.66,highway,medium,dry,cold_mix,asphalt,892,2248,618,3758,4,Ashoka Buildcon
,9174,pothole,4.1,8,0.0,urban,high,dry,cold_mix,asphalt,2909,10000,3399,16308,6,Ashoka Buildcon
,9175,pothole,4.67,2,0.0,urban,low,dry,full_depth_repair,bitumen,2408,5281,1995,9684,7,Sadbhav Engineering
,9176,pothole,4.39,5,0.0,rural,high,dry,resurfacing,gravel,2130,6307,1700,10137,6,Dilip Buildcon
,9177,crack,1.66,0,2.26,urban,high,dry,resurfacing,asphalt,735,1699,849,3283,5,Afcons Infra
,9178,pothole,2.97,17,0.0,highway,high,dry,full_depth_repair,bitumen,1589,4934,566,7089,5,Afcons Infra
,9179,pothole,0.48,10,0.0,urban,medium,rainy,cold_mix,asphalt,628,1841,500,2969,3,Shapoorji Pallonji
,9180,crack,1.36,0,3.59,highway,high,dry,full_depth_repair,bitumen,949,3289,1740,5978,5,Afcons Infra
,9181,pothole,0.56,10,0.0,highway,medium,dry,full_depth_repair,concrete,1094,2445,1119,4658,3,GMR Infra
,9182,crack,1.64,0,6.15,urban,low,dry,full_depth_repair,asphalt,844,1763,877,3484,3,GMR Infra
,9183,crack,4.39,0,0.9,highway,very_high,dry,resurfacing,bitumen,414,1049,300,1763,6,Punj Lloyd
,9184,pothole,1.8,10,0.0,rural,high,humid,full_depth_repair,concrete,1818,5211,685,7714,6,IRB Infrastructure
,9185,crack,2.85,0,3.72,highway,low,dry,full_depth_repair,bitumen,802,2576,1613,4991,5,Sadbhav Engineering
,9186,pothole,2.22,19,0.0,urban,medium,dry,patching,asphalt,1473,5233,2615,9321,3,HCC
,9187,crack,2.35,0,1.13,highway,medium,dry,resurfacing,concrete,567,1701,457,2725,3,Gammon India
,9188,pothole,4.85,19,0.0,rural,very_high,humid,resurfacing,bitumen,3131,10000,3784,16915,11,Sadbhav Engineering
,9189,crack,1.55,0,0.12,highway,high,dry,patching,gravel,233,744,486,1463,3,Gayatri Projects
,9190,pothole,3.17,18,0.0,rural,medium,dry,full_depth_repair,concrete,2706,6308,2395,11409,6,KNR Constructions
,9191,crack,2.16,0,5.82,rural,medium,humid,resurfacing,bitumen,629,2450,799,3878,4,Simplex Infra
,9192,crack,0.4,0,8.21,urban,medium,rainy,patching,bitumen,1131,4265,1877,7273,3,Simplex Infra
,9193,crack,2.5,0,2.01,urban,high,rainy,full_depth_repair,asphalt,859,1767,905,3531,9,Gammon India
,9194,pothole,4.09,18,0.0,rural,low,humid,resurfacing,bitumen,2866,7672,3062,13600,5,Ashoka Buildcon
,9195,pothole,0.58,11,0.0,highway,medium,rainy,resurfacing,bitumen,659,2516,784,3959,4,Tata Projects
,9196,crack,0.44,0,2.65,urban,high,dry,full_depth_repair,asphalt,473,1347,410,2230,4,Ashoka Buildcon
,9197,pothole,0.85,8,0.0,highway,high,dry,full_depth_repair,bitumen,631,1496,814,2941,5,Megha Engineering
,9198,crack,3.85,0,7.37,highway,high,rainy,patching,bitumen,1424,5890,1178,8492,7,Tata Projects
,9199,pothole,3.65,8,0.0,urban,very_high,dry,full_depth_repair,bitumen,2998,8439,2574,14011,9,Megha Engineering
,9200,crack,2.87,0,2.36,urban,very_high,dry,patching,bitumen,459,1469,877,2805,6,Ramky Infra
,9201,pothole,2.39,18,0.0,highway,high,rainy,full_depth_repair,bitumen,2838,6572,2219,11629,7,Megha Engineering
,9202,crack,4.45,0,2.55,urban,medium,rainy,resurfacing,concrete,561,1371,462,2394,8,IRB Infrastructure
,9203,crack,3.86,0,8.0,urban,high,dry,patching,asphalt,1743,3844,1626,7213,5,IRB Infrastructure
,9204,crack,4.08,0,1.41,urban,low,rainy,patching,asphalt,487,1965,606,3058,5,Sadbhav Engineering
,9205,crack,4.08,0,9.94,highway,medium,humid,cold_mix,concrete,2110,5350,1833,9293,6,Simplex Infra
,9206,pothole,3.25,9,0.0,rural,high,dry,resurfacing,bitumen,3545,8461,4066,16072,6,IRB Infrastructure
,9207,crack,2.34,0,3.48,urban,high,dry,full_depth_repair,concrete,1264,3292,570,5126,5,Shapoorji Pallonji
,9208,pothole,4.34,18,0.0,urban,medium,rainy,patching,bitumen,2198,7665,3012,12875,7,Tata Projects
,9209,pothole,4.64,20,0.0,rural,medium,dry,cold_mix,concrete,2800,8675,1293,12768,4,GMR Infra
,9210,crack,0.22,0,2.28,urban,medium,rainy,full_depth_repair,bitumen,471,1505,300,2276,5,Punj Lloyd
,9211,pothole,0.35,16,0.0,highway,medium,rainy,resurfacing,bitumen,640,1753,300,2693,4,Gayatri Projects
,9212,pothole,4.8,1,0.0,rural,medium,humid,patching,concrete,5000,10000,4691,19691,8,GR Infraprojects
,9213,pothole,1.46,5,0.0,highway,high,dry,cold_mix,bitumen,1012,3474,1992,6478,2,Megha Engineering
,9214,crack,4.38,0,4.38,urban,high,dry,cold_mix,bitumen,745,1838,763,3346,8,Simplex Infra
,9215,pothole,2.01,15,0.0,rural,very_high,dry,cold_mix,bitumen,1087,3067,300,4454,5,Simplex Infra
,9216,pothole,0.68,12,0.0,urban,medium,dry,patching,asphalt,604,1660,540,2804,1,Simplex Infra
,9217,crack,0.49,0,7.02,highway,low,dry,resurfacing,bitumen,1006,3100,1709,5815,2,Ashoka Buildcon
,9218,crack,0.87,0,1.83,highway,high,dry,full_depth_repair,asphalt,579,1602,773,2954,5,Ramky Infra
,9219,pothole,1.32,18,0.0,urban,medium,dry,full_depth_repair,bitumen,1653,4811,2594,9058,4,Sadbhav Engineering
,9220,crack,2.49,0,1.95,urban,high,dry,cold_mix,bitumen,473,1471,300,2244,3,Tata Projects
,9221,pothole,3.54,1,0.0,highway,low,rainy,full_depth_repair,bitumen,3212,10000,3165,16377,8,HCC
,9222,pothole,4.93,17,0.0,urban,high,dry,resurfacing,asphalt,3663,10000,2380,16043,9,Shapoorji Pallonji
,9223,pothole,2.26,18,0.0,rural,medium,dry,cold_mix,bitumen,768,2432,1407,4607,3,KNR Constructions
,9224,crack,2.64,0,8.06,rural,medium,rainy,resurfacing,gravel,807,2819,1184,4810,5,NCC Limited
,9225,pothole,2.66,13,0.0,urban,medium,rainy,resurfacing,bitumen,1588,4304,623,6515,7,IRB Infrastructure
,9226,crack,2.74,0,9.62,rural,high,humid,patching,asphalt,1552,3575,1708,6835,5,Afcons Infra
,9227,crack,2.64,0,8.69,rural,high,rainy,patching,bitumen,1083,4399,1414,6896,5,Ashoka Buildcon
,9228,pothole,0.14,19,0.0,rural,medium,rainy,full_depth_repair,asphalt,763,2045,1008,3816,5,IRB Infrastructure
,9229,crack,0.11,0,4.39,urban,medium,dry,cold_mix,bitumen,788,2881,461,4130,1,GMR Infra
,9230,crack,0.58,0,7.95,highway,medium,dry,patching,bitumen,1199,3723,1714,6636,1,Gayatri Projects
,9231,crack,0.6,0,6.65,urban,medium,dry,full_depth_repair,gravel,700,2266,768,3734,3,Shapoorji Pallonji
,9232,crack,3.55,0,4.16,rural,medium,dry,cold_mix,asphalt,805,1767,707,3279,5,GR Infraprojects
,9233,crack,1.1,0,5.09,urban,medium,dry,resurfacing,asphalt,1179,3789,709,5677,2,Sadbhav Engineering
,9234,pothole,4.48,20,0.0,highway,medium,humid,resurfacing,asphalt,2840,10000,2026,14866,7,Megha Engineering
,9235,crack,4.65,0,8.81,urban,medium,humid,patching,bitumen,921,3547,687,5155,7,Dilip Buildcon
,9236,pothole,4.88,9,0.0,highway,very_high,rainy,resurfacing,concrete,4443,10000,6871,21314,8,IRB Infrastructure
,9237,pothole,4.7,14,0.0,rural,high,dry,full_depth_repair,bitumen,1699,5180,3296,10175,8,JMC Projects
,9238,pothole,1.43,3,0.0,highway,high,dry,cold_mix,asphalt,1373,4923,2159,8455,3,Simplex Infra
,9239,pothole,2.6,5,0.0,rural,medium,rainy,cold_mix,bitumen,1261,3619,1976,6856,5,IRB Infrastructure
,9240,pothole,0.96,9,0.0,rural,medium,rainy,patching,asphalt,663,1492,822,2977,4,Tata Projects
,9241,pothole,4.05,18,0.0,highway,low,dry,full_depth_repair,asphalt,2883,10000,3693,16576,7,Tata Projects
,9242,crack,4.45,0,1.51,rural,low,dry,full_depth_repair,bitumen,485,1377,542,2404,7,Shapoorji Pallonji
,9243,crack,4.27,0,2.19,highway,high,dry,cold_mix,bitumen,684,1908,568,3160,4,Larsen & Toubro
